dr_no,date_rptd,date_occ,time_occ,area,area_name,rpt_dist_no,part_1-2,crm_cd,crm_cd_desc,mocodes,vict_age,vict_sex,vict_descent,premis_cd,premis_desc,weapon_used_cd,weapon_desc,status,status_desc,crm_cd_1,crm_cd_2,crm_cd_3,crm_cd_4,location,cross_street,lat,lon,year_occ,month_occ
190326475,2020-03-01,2020-03-01,21:30:00,7,Wilshire,784,1,510,VEHICLE - STOLEN,,0,M,O,101,STREET,,,AA,Adult Arrest,510.0,998.0,,,1900 S  LONGWOOD                     AV,,34.0375,-118.3506,2020,3
200106753,2020-02-09,2020-02-08,18:00:00,1,Central,182,1,330,BURGLARY FROM VEHICLE,1822 1402 0344,47,M,O,128,BUS STOP/LAYOVER (ALSO QUERY 124),,,IC,Invest Cont,330.0,998.0,,,1000 S  FLOWER                       ST,,34.0444,-118.2628,2020,2
200320258,2020-11-11,2020-11-04,17:00:00,3,Southwest,356,1,480,BIKE - STOLEN,0344 1251,19,X,X,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,480.0,998.0,,,1400 W  37TH                         ST,,34.021,-118.3002,2020,11
200907217,2023-05-10,2020-03-10,20:37:00,9,Van Nuys,964,1,343,SHOPLIFTING-GRAND THEFT ($950.01 & OVER),0325 1501,19,M,O,405,CLOTHING STORE,,,IC,Invest Cont,343.0,998.0,,,14000    RIVERSIDE                    DR,,34.1576,-118.4387,2020,3
200412582,2020-09-09,2020-09-09,06:30:00,4,Hollenbeck,413,1,510,VEHICLE - STOLEN,0325 1501,0,M,O,101,STREET,,,IC,Invest Cont,510.0,998.0,,,200 E  AVENUE 28,,34.082,-118.213,2020,9
200209713,2020-05-03,2020-05-02,18:00:00,2,Rampart,245,1,510,VEHICLE - STOLEN,0325 1501,0,M,O,101,STREET,,,IC,Invest Cont,510.0,998.0,,,2500 W  4TH                          ST,,34.0642,-118.2771,2020,5
200200759,2020-07-07,2020-07-07,13:40:00,2,Rampart,265,1,648,ARSON,0329 1402 2004 1501,0,X,X,101,STREET,,,IC,Invest Cont,648.0,998.0,,,JAMES M WOOD,ALVARADO,34.0536,-118.2788,2020,7
201308739,2020-03-27,2020-03-27,12:10:00,13,Newton,1333,1,510,VEHICLE - STOLEN,0329 1402 2004 1501,0,X,X,101,STREET,,,IC,Invest Cont,510.0,998.0,,,3200 S  SAN PEDRO                    ST,ALVARADO,34.017,-118.2643,2020,3
201112065,2020-07-31,2020-07-30,20:30:00,11,Northeast,1161,1,510,VEHICLE - STOLEN,0329 1402 2004 1501,0,X,X,101,STREET,,,AA,Adult Arrest,510.0,998.0,,,KENMORE                      ST,FOUNTAIN,34.0953,-118.2974,2020,7
200121929,2020-12-04,2020-12-03,23:00:00,1,Central,105,1,510,VEHICLE - STOLEN,0329 1402 2004 1501,0,X,X,101,STREET,,,IC,Invest Cont,510.0,998.0,,,400    SOLANO                       AV,FOUNTAIN,34.071,-118.2302,2020,12
201215394,2020-06-26,2020-06-25,22:00:00,12,77th Street,1259,1,510,VEHICLE - STOLEN,0329 1402 2004 1501,0,X,X,101,STREET,,,IC,Invest Cont,510.0,998.0,,,FLORENCE,WADSWORTH,33.9747,-118.2587,2020,6
200406391,2020-03-02,2020-03-01,14:30:00,4,Hollenbeck,407,1,310,BURGLARY,0344 1607,27,M,W,221,PUBLIC STORAGE,,,IC,Invest Cont,310.0,998.0,,,4500    HUNTINGTON DR,WADSWORTH,34.0881,-118.1877,2020,3
200114396,2020-07-06,2020-07-04,01:00:00,1,Central,157,1,510,VEHICLE - STOLEN,0344 1607,0,M,W,101,STREET,,,IC,Invest Cont,510.0,998.0,,,6TH                          ST,CROCKER,34.0423,-118.2453,2020,7
200912561,2020-07-20,2020-07-20,07:00:00,9,Van Nuys,937,1,510,VEHICLE - STOLEN,0344 1607,0,M,W,101,STREET,,,IC,Invest Cont,510.0,998.0,,,BESSEMER,RANCHITO,34.1812,-118.4356,2020,7
200207955,2020-03-19,2020-03-19,01:30:00,2,Rampart,236,1,510,VEHICLE - STOLEN,0344 1607,0,M,W,101,STREET,,,IC,Invest Cont,510.0,998.0,,,1900    MIRAMAR                      ST,RANCHITO,34.0632,-118.2693,2020,3
200112598,2020-06-01,2020-05-30,00:30:00,1,Central,153,1,310,BURGLARY,1609 0344,0,M,W,201,JEWELRY STORE,,,AA,Adult Arrest,310.0,998.0,,,600 S  BROADWAY,RANCHITO,34.0467,-118.252,2020,5
200905707,2020-02-08,2020-02-07,20:00:00,9,Van Nuys,939,1,510,VEHICLE - STOLEN,1609 0344,0,M,W,101,STREET,,,AO,Adult Other,510.0,998.0,,,AETNA,ATOLL,34.1803,-118.4204,2020,2
